,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
308,DE000MA5M6U5,"Turbo | Long | DAX ® | 13.800,00 | 16.04.21",Turbo,DAX ®,02.03.2021,"2,910 EUR","2,900 EUR"
309,DE000MA5M6A7,"Mini-Future | Long | DAX ® | 13.870,00 | 13.698,7654",Mini-Future,DAX ®,02.03.2021,"3,560 EUR","3,550 EUR"
310,DE000MA5M751,"Turbo | Long | DAX ® | 13.850,00 | 30.04.21",Turbo,DAX ®,02.03.2021,"2,440 EUR","2,430 EUR"
311,DE000MA5M330,"Turbo Open End | Long | DAX ® | 13.820,00",Turbo Open End,DAX ®,02.03.2021,"2,630 EUR","2,620 EUR"
312,DE000MA5M926,"Turbo Open End | Long | CAC 40 ® | 5.760,00",Turbo Open End,CAC 40 ®,02.03.2021,"0,770 EUR","0,760 EUR"
313,DE000MA5M6T7,"Turbo | Long | DAX ® | 13.800,00 | 31.03.21",Turbo,DAX ®,02.03.2021,"2,930 EUR","2,920 EUR"
314,DE000MA5MEF8,"Mini-Future | Long | Datagroup | 62,50 | 58,1395",Mini-Future,Datagroup,02.03.2021,"0,840 EUR","0,710 EUR"
315,DE000MA5MGQ0,"Optionsschein | Call | Beiersdorf | 83,00 | 17.09.21",Optionsschein,Beiersdorf,02.03.2021,"0,600 EUR","0,570 EUR"
316,DE000MA5M777,"Turbo | Long | DAX ® | 13.850,00 | 31.03.21",Turbo,DAX ®,02.03.2021,"2,440 EUR","2,430 EUR"
317,DE000MA5M2X8,"Turbo Open End | Long | DAX ® | 13.520,00",Turbo Open End,DAX ®,02.03.2021,"5,590 EUR","5,580 EUR"
318,DE000MA5MET9,"Mini-Future | Long | Dassault Aviation | 900,00 | 833,3333",Mini-Future,Dassault Aviation,02.03.2021,-,"0,840 EUR"
319,DE000MA5M6P5,"Turbo | Long | DAX ® | 13.790,00 | 18.06.21",Turbo,DAX ®,02.03.2021,"3,070 EUR","3,060 EUR"
320,DE000MA5MRJ2,"Optionsschein | Call | Danone | 85,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,018 EUR"
